idx,phy_ul_n_samples,phy_dl_n_samples,mac_dl_buffer,mac_dl_brate,mac_ul_brate,mac_dl_ok,mac_dl_nok,mac_ul_ok,mac_ul_nok,timestamp,label_encoded
371,48,6,0,216000,243505,3,0,19,0,16668594,0
372,48,4,0,114989,238153,2,0,19,0,16668594,0
373,35,4,0,83111,173866,1,0,14,0,16668594,0
374,35,5,0,165066,176711,3,0,14,0,16668594,0
375,36,4,0,117573,201528,2,0,14,0,16668594,0
376,48,4,0,116266,240800,2,0,19,0,16668594,0
377,40,7,0,34197,196747,1,0,16,0,16668594,0
378,35,3,0,165066,188800,3,0,14,0,16668594,0
379,46,4,0,117573,229393,2,0,18,0,16668594,0
380,48,4,0,116266,240800,2,0,19,0,16668594,0
381,48,4,0,114989,238153,2,0,19,0,16668594,0
382,48,4,0,116266,240800,2,0,19,0,16668594,0
383,30,7,0,177600,190755,2,0,12,0,16668594,0
384,28,2,0,119011,194606,2,0,11,0,16668594,0
385,41,5,0,114989,210637,2,0,16,0,16668594,0
386,30,4,0,116266,241777,2,0,12,0,16668594,0
387,35,5,0,33155,185066,1,0,14,0,16668594,0
388,38,5,0,165483,203056,3,0,15,0,16668594,0
389,46,4,0,114989,224351,2,0,18,0,16668594,0
390,48,4,0,117688,240800,2,0,19,0,16668594,0
391,40,4,0,117688,244266,2,0,16,0,16668594,0
392,48,4,0,117573,243505,2,0,19,0,16668594,0
393,35,8,0,130488,173866,2,1,14,0,16668594,0
394,32,0,0,32791,153406,1,0,10,3,16668594,0
395,13,5,0,84044,136719,1,0,5,1,16668594,0
396,14,0,0,34577,124711,1,0,3,2,16668594,0
397,15,4,0,114989,121670,2,0,6,0,16668594,0
398,16,5,0,116266,166844,2,0,7,0,16668594,0
399,6,3,0,83111,55733,1,0,3,0,16668594,0
400,12,4,0,182471,68674,2,0,5,0,16668594,0
401,37,4,0,116395,251164,2,0,15,0,16668594,0
402,47,9,0,115685,447191,1,2,18,1,16668594,0
403,32,4,0,114989,235692,2,0,12,0,16668594,0
404,22,9,0,238022,289797,4,0,8,0,16668594,0
405,31,8,0,196533,201511,3,0,13,0,16668594,0
406,29,2,0,33155,177511,1,0,12,0,16668594,0
407,38,5,0,117573,193528,2,0,15,0,16668594,0
408,26,2,0,82197,162813,1,0,9,1,16668594,0
409,91,34,0,346222,538400,7,6,37,0,16668594,0
410,19,2,0,83111,120177,1,0,6,1,16668594,0
411,39,7,0,116266,265066,2,0,16,0,16668594,0
412,27,3,0,116266,154844,2,0,10,0,16668594,0
413,50,8,0,116266,240888,2,0,20,0,16668594,0
414,46,7,0,213600,242844,3,1,19,0,16668594,0
415,18,2,0,33155,105333,1,0,7,0,16668594,0
416,59,12,0,131955,288988,2,1,23,0,16668594,0
