model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
lstm-cu,CU,77900,574.425,581.952,585.352,135613.81,0.949127,0.949447,0.945359,0.953571
lstm-cu,CU,78000,575.182,582.741,584.24,135609.13,0.949103,0.949418,0.945323,0.953548
lstm-cu,CU,78100,573.916,581.924,590.702,136082.65,0.949091,0.949402,0.945312,0.953528
lstm-cu,CU,78200,574.985,582.262,583.909,136003.61,0.94913,0.949432,0.94537,0.953529
lstm-cu,CU,78300,574.614,582.758,584.202,136265.38,0.949144,0.949454,0.945422,0.953521
lstm-cu,CU,78400,574.473,582.654,601.636,136472.92,0.949145,0.949453,0.945414,0.953527
lstm-cu,CU,78500,576.348,582.887,629.302,136202.51,0.949134,0.949437,0.945427,0.953482
lstm-cu,CU,78600,575.501,582.422,584.566,136576.66,0.94916,0.949461,0.945467,0.953489
lstm-cu,CU,78700,575.012,583.068,583.985,136866.6,0.949187,0.949485,0.945484,0.95352
lstm-cu,CU,78800,574.825,582.707,583.541,137085.15,0.949226,0.949511,0.94549,0.953566
lstm-cu,CU,78900,574.281,582.15,620.357,137389.21,0.949252,0.949543,0.945539,0.95358
lstm-cu,CU,79000,574.159,581.737,584.486,137592.43,0.949215,0.949519,0.945569,0.953502
lstm-cu,CU,79100,573.796,581.822,582.961,137853.95,0.949204,0.949501,0.945532,0.953504
lstm-cu,CU,79200,576.278,583.415,644.152,137433.62,0.949192,0.949479,0.945443,0.953549
lstm-cu,CU,79300,575.248,584.933,643.582,137853.5,0.949193,0.949482,0.945439,0.953559
lstm-cu,CU,79400,575.694,582.331,635.987,137920.39,0.949219,0.949502,0.945428,0.95361
lstm-cu,CU,79500,576.411,584.263,647.197,137922.3,0.949245,0.94952,0.945487,0.953588
lstm-cu,CU,79600,574.378,582.069,583.57,138584.79,0.949196,0.949468,0.945451,0.953519
lstm-cu,CU,79700,574.658,582.366,635.749,138691.09,0.949147,0.949411,0.945341,0.953518
lstm-cu,CU,79800,575.46,582.928,659.671,138671.78,0.949185,0.949448,0.945382,0.95355
lstm-cu,CU,79900,572.678,582.264,611.379,139520.0,0.949174,0.94945,0.945367,0.953569
lstm-cu,CU,80000,577.488,587.598,652.719,138531.1,0.94915,0.949433,0.945297,0.953606
