model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
lstm-cu,CU,17900,107.13,114.271,115.895,167086.13,0.949609,0.949377,0.945345,0.953444
lstm-cu,CU,18000,108.466,116.229,119.87,165951.14,0.949444,0.949219,0.94521,0.953262
lstm-cu,CU,18100,106.135,113.65,115.911,170537.09,0.949503,0.949222,0.945231,0.953247
lstm-cu,CU,18200,107.943,115.239,120.386,168606.91,0.949451,0.949194,0.945123,0.9533
lstm-cu,CU,18300,108.018,113.517,114.713,169416.46,0.949399,0.949166,0.945119,0.953247
lstm-cu,CU,18400,109.326,117.856,122.101,168303.99,0.949348,0.949154,0.945235,0.953106
lstm-cu,CU,18500,110.447,118.174,121.018,167500.8,0.949514,0.949366,0.94547,0.953293
lstm-cu,CU,18600,111.157,117.529,121.018,167331.0,0.949677,0.94958,0.94581,0.95338
lstm-cu,CU,18700,110.493,119.192,123.372,169241.46,0.94984,0.949775,0.946128,0.953451
lstm-cu,CU,18800,112.66,119.54,124.87,166873.12,0.949894,0.949803,0.946273,0.953359
lstm-cu,CU,18900,112.92,123.714,127.456,167374.74,0.95,0.949891,0.946229,0.953582
lstm-cu,CU,19000,112.484,120.433,123.813,168912.6,0.950105,0.950005,0.946213,0.953828
lstm-cu,CU,19100,114.493,124.145,127.229,166823.12,0.949895,0.949809,0.946087,0.953559
lstm-cu,CU,19200,115.541,123.653,129.731,166175.24,0.949896,0.949802,0.945952,0.953683
lstm-cu,CU,19300,115.619,123.721,126.286,166927.54,0.949845,0.949725,0.945795,0.953687
lstm-cu,CU,19400,116.228,123.802,125.526,166912.79,0.949845,0.949734,0.945776,0.953725
lstm-cu,CU,19500,114.431,119.505,120.795,170408.81,0.949949,0.949851,0.945866,0.95387
lstm-cu,CU,19600,116.885,126.259,131.084,167686.9,0.950051,0.949946,0.945932,0.953995
lstm-cu,CU,19700,116.98,122.991,126.527,168405.18,0.950102,0.949982,0.946083,0.953914
lstm-cu,CU,19800,118.857,129.98,133.026,166586.15,0.950152,0.950008,0.946126,0.953921
lstm-cu,CU,19900,118.411,127.49,129.922,168058.4,0.95,0.949821,0.945577,0.954103
lstm-cu,CU,20000,117.582,123.964,128.551,170094.28,0.94985,0.949707,0.945298,0.954156
