model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
transformer-cu,CU,2200,60.816,62.364,63.557,36174.58,0.963182,0.962793,0.989613,0.937388
transformer-cu,CU,2300,61.831,64.96,66.139,37198.1,0.963043,0.962506,0.990018,0.936481
transformer-cu,CU,2400,62.508,65.276,66.099,38394.8,0.963333,0.962489,0.990351,0.936153
transformer-cu,CU,2500,62.521,65.974,67.61,39986.58,0.9632,0.96214,0.989839,0.935949
transformer-cu,CU,2600,63.58,65.857,70.681,40893.45,0.962692,0.961675,0.989431,0.935434
transformer-cu,CU,2700,63.854,67.925,68.949,42283.87,0.963704,0.962652,0.989812,0.936944
transformer-cu,CU,2800,65.163,68.437,72.523,42969.36,0.964643,0.963803,0.990233,0.938746
transformer-cu,CU,2900,65.732,69.314,70.209,44118.22,0.965172,0.964474,0.989892,0.940329
transformer-cu,CU,3000,67.897,77.152,92.572,44184.25,0.965667,0.96493,0.990217,0.940903
transformer-cu,CU,3100,67.464,71.665,85.08,45950.3,0.965806,0.965086,0.989196,0.942122
transformer-cu,CU,3200,66.922,71.179,73.549,47816.88,0.965313,0.964389,0.988816,0.94114
transformer-cu,CU,3300,68.823,77.913,89.624,47949.06,0.965152,0.964252,0.989158,0.94057
transformer-cu,CU,3400,69.834,87.899,92.548,48686.71,0.965,0.964211,0.988896,0.940728
transformer-cu,CU,3500,71.62,88.304,89.887,48869.0,0.964571,0.963721,0.989189,0.939532
transformer-cu,CU,3600,71.013,85.093,89.8,50694.83,0.964167,0.9633,0.98948,0.93847
transformer-cu,CU,3700,71.349,83.511,93.345,51857.69,0.964595,0.963802,0.989784,0.939149
transformer-cu,CU,3800,72.894,82.946,97.929,52130.52,0.964211,0.963362,0.988938,0.939076
transformer-cu,CU,3900,73.107,86.317,97.177,53346.8,0.964872,0.964108,0.989247,0.940215
transformer-cu,CU,4000,74.707,94.815,111.345,53542.23,0.96525,0.964386,0.989485,0.94053
transformer-cu,CU,4100,75.506,93.955,98.833,54300.01,0.965122,0.964115,0.989696,0.939824
transformer-cu,CU,4200,77.524,97.302,99.495,54176.86,0.965476,0.964539,0.98996,0.940391
transformer-cu,CU,4300,78.98,97.777,134.895,54444.26,0.965116,0.964286,0.99022,0.939675
transformer-cu,CU,4400,78.433,95.181,111.184,56099.17,0.965,0.964069,0.989938,0.939518
transformer-cu,CU,4500,79.42,96.613,98.617,56660.84,0.965111,0.964342,0.989744,0.940213
transformer-cu,CU,4600,81.042,98.368,102.129,56760.55,0.964348,0.963669,0.988636,0.939931
transformer-cu,CU,4700,80.021,97.576,99.106,58734.82,0.964255,0.963652,0.988899,0.939662
transformer-cu,CU,4800,82.147,98.133,130.738,58431.78,0.964583,0.963998,0.989135,0.940107
transformer-cu,CU,4900,81.691,97.899,126.194,59982.01,0.964286,0.96358,0.989316,0.939148
transformer-cu,CU,5000,85.064,98.833,136.325,58779.33,0.9648,0.964096,0.989531,0.939936
transformer-cu,CU,5100,86.437,101.196,136.249,59002.76,0.964706,0.963928,0.989305,0.93982
transformer-cu,CU,5200,71.407,98.246,99.181,72822.28,0.964808,0.964026,0.989508,0.939824
transformer-cu,CU,5300,74.287,98.156,99.105,71344.52,0.965283,0.96441,0.989678,0.9404
transformer-cu,CU,5400,75.338,98.522,99.046,71677.2,0.965556,0.964773,0.989895,0.940894
transformer-cu,CU,5500,68.512,98.152,98.609,80277.83,0.966,0.965196,0.990073,0.94154
transformer-cu,CU,5600,70.883,97.872,98.539,79003.89,0.964821,0.963926,0.989474,0.939664
transformer-cu,CU,5700,71.066,98.136,99.981,80207.62,0.964386,0.96343,0.989637,0.938575
transformer-cu,CU,5800,74.979,98.474,99.525,77355.08,0.964828,0.963958,0.98984,0.939394
transformer-cu,CU,5900,74.013,98.12,98.639,79716.03,0.965085,0.964236,0.990018,0.939763
transformer-cu,CU,6000,76.897,98.461,99.444,78026.59,0.965667,0.96475,0.990165,0.940607
