model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput,acc,f1,precision,recall
autoencoder-du,DU,12900,148.573,156.008,159.051,86825.87,0.897519,0.906783,0.839097,0.986348
autoencoder-du,DU,13000,148.441,155.267,157.743,87576.6,0.897692,0.906915,0.839357,0.986299
autoencoder-du,DU,13100,144.53,151.967,155.701,90638.49,0.897939,0.907056,0.839532,0.986393
autoencoder-du,DU,13200,150.11,157.664,159.617,87935.27,0.897955,0.906982,0.83934,0.98648
autoencoder-du,DU,13300,150.819,159.655,161.732,88185.24,0.89812,0.907173,0.839589,0.986589
autoencoder-du,DU,13400,150.015,156.953,160.698,89324.6,0.89791,0.906939,0.839335,0.986387
autoencoder-du,DU,13500,154.342,160.058,162.8,87468.21,0.898,0.907003,0.839585,0.986195
autoencoder-du,DU,13600,155.431,162.301,164.385,87498.47,0.898015,0.906907,0.839359,0.986277
autoencoder-du,DU,13700,156.207,164.763,168.276,87704.16,0.897956,0.906738,0.839012,0.986357
autoencoder-du,DU,13800,156.761,167.287,171.878,88032.34,0.898188,0.907034,0.839437,0.986471
autoencoder-du,DU,13900,157.594,167.204,175.66,88201.37,0.897914,0.906884,0.839203,0.986438
autoencoder-du,DU,14000,161.005,169.906,173.22,86954.06,0.898071,0.907102,0.839499,0.986548
autoencoder-du,DU,14100,160.158,167.369,170.635,88038.12,0.89773,0.90686,0.839311,0.986232
autoencoder-du,DU,14200,162.099,170.621,172.183,87600.73,0.897676,0.906805,0.839449,0.985914
autoencoder-du,DU,14300,161.916,169.933,172.96,88317.19,0.897762,0.906843,0.839547,0.985869
autoencoder-du,DU,14400,162.979,171.325,175.6,88354.89,0.897708,0.906719,0.839273,0.985952
autoencoder-du,DU,14500,164.481,171.439,176.242,88156.17,0.897448,0.906531,0.838976,0.985917
autoencoder-du,DU,14600,167.224,174.307,179.008,87308.2,0.897534,0.906582,0.838997,0.986009
autoencoder-du,DU,14700,166.037,174.706,176.678,88534.36,0.897347,0.906442,0.838784,0.985972
autoencoder-du,DU,14800,168.677,175.649,179.64,87741.49,0.896959,0.906056,0.838349,0.985659
autoencoder-du,DU,14900,166.659,175.143,179.173,89404.29,0.89651,0.905677,0.837633,0.985752
autoencoder-du,DU,15000,170.382,178.708,183.738,88037.43,0.896267,0.905399,0.837194,0.985703
autoencoder-du,DU,15100,170.928,180.274,188.402,88341.44,0.89596,0.905047,0.83663,0.98565
autoencoder-du,DU,15200,173.881,181.317,184.189,87416.25,0.895987,0.905028,0.836535,0.985737
autoencoder-du,DU,15300,170.457,178.754,183.261,89758.69,0.896275,0.905282,0.836901,0.985831
autoencoder-du,DU,15400,171.549,178.801,186.894,89770.02,0.896169,0.905166,0.836824,0.985663
autoencoder-du,DU,15500,180.084,190.601,198.999,86070.81,0.896452,0.905338,0.83706,0.985744
autoencoder-du,DU,15600,178.872,186.149,190.681,87213.11,0.89641,0.905275,0.836892,0.985829
autoencoder-du,DU,15700,180.76,187.821,191.172,86855.67,0.895924,0.904745,0.836117,0.985647
autoencoder-du,DU,15800,178.439,187.159,190.229,88545.56,0.895823,0.904646,0.835885,0.985734
autoencoder-du,DU,15900,180.796,188.891,200.323,87944.31,0.895786,0.904688,0.835884,0.985834
autoencoder-du,DU,16000,179.691,190.394,191.682,89041.83,0.895875,0.904789,0.835991,0.985926
autoencoder-du,DU,16100,182.661,192.318,194.802,88141.46,0.895901,0.904773,0.835906,0.986006
autoencoder-du,DU,16200,181.556,190.221,194.651,89228.85,0.896173,0.905015,0.836343,0.985973
autoencoder-du,DU,16300,186.294,196.993,202.307,87496.05,0.896012,0.90477,0.835963,0.985919
autoencoder-du,DU,16400,181.969,189.038,196.792,90125.01,0.895976,0.904682,0.835759,0.985994
autoencoder-du,DU,16500,186.721,195.416,198.784,88367.18,0.896,0.904741,0.835795,0.986084
autoencoder-du,DU,16600,185.11,192.913,200.091,89676.27,0.896084,0.904775,0.835798,0.986161
autoencoder-du,DU,16700,191.629,200.857,207.873,87147.75,0.896168,0.904788,0.835768,0.986234
autoencoder-du,DU,16800,188.06,197.64,204.197,89332.99,0.895833,0.904413,0.83525,0.986065
autoencoder-du,DU,16900,193.762,204.44,218.999,87220.51,0.89574,0.904364,0.835104,0.986151
autoencoder-du,DU,17000,191.695,203.182,205.331,88682.65,0.895588,0.904194,0.834845,0.986108
autoencoder-du,DU,17100,193.772,204.246,209.323,88247.91,0.895439,0.904036,0.834688,0.985952
autoencoder-du,DU,17200,193.528,205.021,207.044,88876.15,0.895233,0.903801,0.834319,0.985907
autoencoder-du,DU,17300,198.041,208.771,220.575,87355.53,0.895434,0.903986,0.834656,0.985876
autoencoder-du,DU,17400,197.123,210.839,218.542,88269.81,0.895345,0.90392,0.834486,0.985958
autoencoder-du,DU,17500,199.851,211.077,212.989,87565.18,0.895143,0.90371,0.834238,0.985804
autoencoder-du,DU,17600,199.113,209.484,222.4,88391.94,0.895227,0.903788,0.834313,0.985885
autoencoder-du,DU,17700,200.923,212.547,214.166,88093.4,0.895311,0.903985,0.834657,0.985873
autoencoder-du,DU,17800,204.14,211.37,217.415,87195.05,0.895281,0.903997,0.834776,0.985735
autoencoder-du,DU,17900,202.523,213.628,226.401,88385.09,0.89514,0.903827,0.834516,0.985695
autoencoder-du,DU,18000,203.091,214.736,226.349,88630.37,0.895278,0.903949,0.834666,0.985775
autoencoder-du,DU,18100,203.51,215.02,218.217,88939.11,0.895359,0.904033,0.834753,0.985855
autoencoder-du,DU,18200,207.846,217.756,222.222,87564.86,0.895275,0.903835,0.834451,0.985802
autoencoder-du,DU,18300,210.344,222.409,224.689,87000.45,0.895464,0.903971,0.834631,0.985875
autoencoder-du,DU,18400,210.413,219.957,224.094,87447.27,0.895272,0.903924,0.834561,0.985862
autoencoder-du,DU,18500,213.102,226.186,230.737,86812.91,0.895243,0.90384,0.834524,0.985714
autoencoder-du,DU,18600,212.095,221.918,225.58,87696.5,0.895269,0.903869,0.83467,0.985579
autoencoder-du,DU,18700,212.586,222.732,224.226,87964.56,0.895241,0.903872,0.834617,0.985659
autoencoder-du,DU,18800,213.227,224.133,232.111,88168.8,0.895532,0.904148,0.835031,0.98574
autoencoder-du,DU,18900,215.758,225.979,234.676,87598.01,0.895608,0.9042,0.835142,0.985708
autoencoder-du,DU,19000,212.853,223.245,227.134,89263.59,0.895579,0.904229,0.835132,0.985791
autoencoder-du,DU,19100,213.159,226.879,231.898,89604.49,0.895707,0.904314,0.8353,0.985758
autoencoder-du,DU,19200,215.344,227.226,230.003,89159.57,0.895833,0.904425,0.835437,0.985832
autoencoder-du,DU,19300,214.693,225.883,228.788,89895.72,0.89601,0.904651,0.835835,0.985815
autoencoder-du,DU,19400,218.236,229.955,233.959,88894.44,0.895979,0.904658,0.835938,0.985689
autoencoder-du,DU,19500,220.867,230.843,237.376,88288.46,0.896051,0.904679,0.835926,0.985755
autoencoder-du,DU,19600,219.545,232.285,236.823,89275.69,0.895918,0.904637,0.835867,0.985738
autoencoder-du,DU,19700,223.066,232.492,238.933,88314.8,0.895888,0.904618,0.835782,0.98581
autoencoder-du,DU,19800,226.041,234.341,240.989,87594.63,0.895758,0.904409,0.835387,0.985864
autoencoder-du,DU,19900,224.244,234.735,240.138,88742.67,0.895528,0.904118,0.834923,0.985819
autoencoder-du,DU,20000,227.803,238.842,249.575,87795.24,0.8958,0.904281,0.835157,0.985879
