model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
lstm-du,DU,29400,185.26,196.641,201.538,158695.87,0.925714,0.930521,0.875224,0.993276
lstm-du,DU,29500,184.943,192.878,198.868,159508.35,0.925729,0.930513,0.875194,0.993297
lstm-du,DU,29600,188.058,202.952,219.333,157397.91,0.925743,0.930513,0.875178,0.993318
lstm-du,DU,29700,188.048,202.381,221.775,157938.53,0.925859,0.930615,0.875341,0.993341
lstm-du,DU,29800,188.413,199.403,205.652,158163.27,0.925805,0.930522,0.875163,0.993358
lstm-du,DU,29900,192.413,206.443,236.023,155395.04,0.925786,0.930524,0.875199,0.993316
lstm-du,DU,30000,190.169,203.075,220.326,157754.17,0.925833,0.93054,0.875213,0.993335
lstm-du,DU,30100,189.8,200.44,207.542,158587.73,0.925814,0.930521,0.875161,0.993357
lstm-du,DU,30200,198.641,214.879,255.72,152032.79,0.925795,0.930475,0.875066,0.993376
lstm-du,DU,30300,190.535,201.502,209.063,159026.03,0.925809,0.930523,0.875131,0.993401
lstm-du,DU,30400,198.347,212.517,244.323,153267.07,0.925822,0.930575,0.875203,0.993427
lstm-du,DU,30500,193.245,208.209,230.948,157830.97,0.925902,0.930662,0.875339,0.99345
lstm-du,DU,30600,192.683,207.439,227.518,158809.89,0.925915,0.930688,0.875417,0.993408
lstm-du,DU,30700,194.985,206.731,227.91,157447.8,0.925993,0.930782,0.875566,0.993432
lstm-du,DU,30800,194.396,206.878,212.963,158439.3,0.925909,0.930727,0.87545,0.993455
lstm-du,DU,30900,201.194,211.622,242.467,153583.47,0.925922,0.930735,0.875448,0.993475
lstm-du,DU,31000,194.508,206.253,211.92,159376.34,0.926,0.930808,0.87556,0.993497
lstm-du,DU,31100,198.376,210.372,218.749,156772.81,0.926174,0.930968,0.875877,0.993455
lstm-du,DU,31200,196.449,207.0,219.538,158820.0,0.926058,0.930872,0.875691,0.993476
lstm-du,DU,31300,198.278,212.141,239.32,157858.82,0.926166,0.930984,0.87592,0.993435
lstm-du,DU,31400,198.207,215.302,222.178,158420.54,0.92621,0.931003,0.875939,0.993454
lstm-du,DU,31500,203.28,215.274,223.967,154958.82,0.926254,0.931025,0.875964,0.993473
lstm-du,DU,31600,198.906,210.865,213.246,158868.81,0.926171,0.930942,0.875849,0.99343
lstm-du,DU,31700,203.725,216.092,219.825,155601.73,0.926215,0.930985,0.875909,0.993451
lstm-du,DU,31800,200.854,213.244,238.622,158323.79,0.926132,0.930898,0.87574,0.99347
lstm-du,DU,31900,204.768,218.744,223.561,155786.29,0.926207,0.930964,0.875842,0.99349
