model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
cnn-cu,CU,39400,280.722,327.402,345.891,140352.52,0.958376,0.958596,0.953637,0.963608
cnn-cu,CU,39500,280.953,339.435,352.041,140593.11,0.958354,0.958569,0.953646,0.963544
cnn-cu,CU,39600,282.219,338.166,349.428,140316.57,0.958333,0.958536,0.9536,0.963524
cnn-cu,CU,39700,281.793,346.272,363.079,140883.75,0.958287,0.958494,0.953618,0.96342
cnn-cu,CU,39800,280.132,328.832,348.31,142075.78,0.958266,0.958472,0.953584,0.96341
cnn-cu,CU,39900,276.977,314.32,332.16,144055.35,0.95812,0.958359,0.953488,0.96328
cnn-cu,CU,40000,285.585,335.077,341.606,140063.42,0.958175,0.958421,0.95361,0.963281
cnn-cu,CU,40100,278.285,317.901,343.077,144096.88,0.95818,0.958442,0.953597,0.963336
cnn-cu,CU,40200,283.283,324.306,333.975,141907.61,0.958134,0.958384,0.953644,0.963171
cnn-cu,CU,40300,284.339,332.99,343.396,141732.41,0.958164,0.958411,0.953706,0.963163
cnn-cu,CU,40400,282.669,330.573,343.729,142923.55,0.958218,0.958473,0.953733,0.96326
cnn-cu,CU,40500,284.873,336.339,350.89,142168.81,0.958198,0.958447,0.953695,0.963246
cnn-cu,CU,40600,287.634,341.278,347.187,141151.64,0.958202,0.958463,0.953724,0.963249
cnn-cu,CU,40700,287.799,331.02,341.332,141418.18,0.958256,0.958517,0.95379,0.963292
cnn-cu,CU,40800,292.527,343.575,355.209,139474.26,0.958284,0.958561,0.953869,0.963298
cnn-cu,CU,40900,286.772,326.087,336.893,142621.92,0.958362,0.958636,0.953979,0.963339
cnn-cu,CU,41000,287.429,327.566,338.501,142643.69,0.958415,0.95867,0.953975,0.96341
cnn-cu,CU,41100,286.124,324.651,346.048,143643.87,0.958491,0.958752,0.954047,0.963505
cnn-cu,CU,41200,293.008,340.186,346.444,140610.39,0.958471,0.95875,0.954035,0.963512
cnn-cu,CU,41300,292.082,337.249,349.587,141398.88,0.95845,0.95873,0.954049,0.963457
cnn-cu,CU,41400,292.912,343.819,357.047,141339.62,0.958478,0.958758,0.954066,0.963497
cnn-cu,CU,41500,296.855,340.94,360.568,139798.88,0.958482,0.958759,0.954032,0.963533
cnn-cu,CU,41600,293.261,334.24,369.615,141853.14,0.958462,0.958737,0.953999,0.963523
cnn-cu,CU,41700,294.775,332.032,346.972,141463.63,0.958489,0.958745,0.954039,0.963499
