dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr,ue_id,timestamp,cellid,in_sync,idx
0.003588786,0.481481481,0.009493406,0.008647431,0.55,0.060864,0,0.5,0.981481481,0.953488372,0.588235294,0.787878788,0.406060606,1,0.418604651,0.406976744,0,0.114091769,0,0,6955
0.003589538,0.481481481,0.006228248,0.00864813,0.45,0.039041,0,0.525,0.981481481,0.976744186,0.602941176,0.787878788,0.445454545,1,0.395348837,0.418604651,0,0.114091988,0,0,6956
0.00359001,0.37037037,0.004540105,0.008648808,0.45,0.015125,0,0.5,0.981481481,0.976744186,0.602941176,0.787878788,0.424242424,1,0.441860465,0.406976744,0,0.114092206,0,0,6957
0.003591443,0.333333333,0.002979254,0.008657132,0.5,0.011327,0,0.475,0.981481481,0.976744186,0.602941176,0.787878788,0.342424242,1,0.418604651,0.465116279,0,0.114092425,0,0,6958
0.003592798,0.37037037,0.001954852,0.008667931,0.7,0.016537,0,0.5,0.981481481,0.976744186,0.602941176,0.787878788,0.406060606,1,0.395348837,0.406976744,0,0.114092643,0,0,6959
0.003594191,0.333333333,0.00093449,0.008674878,0.75,0.028017,0,0.475,0.981481481,0.976744186,0.602941176,0.787878788,0.375757576,1,0.441860465,0.441860465,0,0.114092862,0,0,6960
0.003595493,0.37037037,0.000613227,0.008681902,0.55,0.078334,0,0.475,0.981481481,0.976744186,0.617647059,0.787878788,0.375757576,1,0.465116279,0.779069767,0,0.11409308,0,0,6961
0.003595965,0.333333333,0.000402083,0.008682521,0.45,0.03372,0,0.55,0.981481481,0.976744186,0.617647059,0.757575758,0.46969697,1,0.418604651,0.406976744,0,0.114093299,0,0,6962
0.003596339,0.333333333,0.000292975,0.008683183,0.45,0.038521,0,0.525,0.981481481,0.976744186,0.617647059,0.787878788,0.424242424,1,0.418604651,0.406976744,0,0.114093517,0,0,6963
0.003597903,0.37037037,0.000172754,0.00869225,0.45,0.046123,0,0.5,0.981481481,0.953488372,0.588235294,0.787878788,0.406060606,1,0.418604651,0.406976744,0,0.114093736,0,0,6964
0.003600965,0.407407407,0.000102036,0.008708092,0.55,0.03788,0,0.5,0.981481481,0.953488372,0.588235294,0.787878788,0.406060606,1,0.372093023,0.430232558,0,0.114093954,0,0,6965
0.003601572,0.481481481,8.28e-05,0.008708784,0.45,0.020292,0,0.55,0.981481481,0.953488372,0.573529412,0.787878788,0.46969697,1,0.395348837,0.372093023,0,0.114094173,0,0,6966
0.003602067,0.37037037,6.06e-05,0.00870948,0.45,0.007862,0,0.475,0.981481481,0.953488372,0.558823529,0.727272727,0.445454545,1,0.395348837,0.395348837,0,0.114094392,0,0,6967
0.003603725,0.407407407,3.54e-05,0.008717927,0.45,0.002741,0,0.5,0.981481481,0.953488372,0.558823529,0.727272727,0.445454545,1,0.348837209,0.395348837,0,0.11409461,0,0,6968
0.003605515,0.407407407,2.32e-05,0.008728249,0.55,0.001062,0,0.45,0.981481481,0.976744186,0.602941176,0.787878788,0.390909091,1,0.348837209,0.430232558,0,0.114094829,0,0,6969
0.003607401,0.518518519,1.41e-05,0.008734955,0.6,0.049867,0,0.35,0.981481481,0.976744186,0.617647059,0.757575758,0.278787879,1,0.534883721,0.523255814,0,0.114095047,0,0,6970
0.003609483,0.592592593,9.09e-06,0.00874231,0.6,0.026684,0,0.45,0.981481481,0.976744186,0.647058824,0.727272727,0.406060606,1,0.465116279,0.406976744,0,0.114095266,0,0,6971
0.003614149,0.703703704,4.04e-06,0.008744071,0.75,0.057087,0,0.45,0.981481481,0.976744186,0.632352941,0.727272727,0.424242424,1,0.395348837,0.395348837,0,0.114095484,0,0,6972
0.003616443,0.703703704,2.02e-06,0.008745198,0.65,0.084674,0,0.425,0.981481481,0.976744186,0.661764706,0.727272727,0.363636364,1,0.441860465,0.441860465,0,0.114095703,0,0,6973
0.00361882,0.666666667,1.01e-06,0.008753779,0.45,0.042592,0,0.475,0.981481481,0.976744186,0.676470588,0.727272727,0.424242424,1,0.372093023,0.418604651,0,0.114095921,0,0,6974
0.00362288,0.703703704,1.01e-06,0.008769369,0.5,0.050456,0,0.475,0.981481481,0.976744186,0.647058824,0.727272727,0.496969697,1,0.395348837,0.337209302,0,0.11409614,0,0,6975
0.003624794,0.740740741,0,0.008770051,0.45,0.044133,0,0.475,0.981481481,0.976744186,0.647058824,0.727272727,0.406060606,1,0.372093023,0.406976744,0,0.114096358,0,0,6976
0.003625745,0.666666667,0,0.008770742,0.45,0.029123,0,0.475,0.981481481,0.976744186,0.632352941,0.727272727,0.406060606,1,0.372093023,0.441860465,0,0.114096577,0,0,6977
0.003626477,0.518518519,0,0.008771395,0.45,0.030761,0,0.475,0.981481481,0.976744186,0.647058824,0.727272727,0.424242424,1,0.441860465,0.406976744,0,0.114096795,0,0,6978
0.003629903,0.481481481,0,0.008782999,0.55,0.019714,0,0.45,0.981481481,0.976744186,0.647058824,0.727272727,0.375757576,1,0.418604651,0.441860465,0,0.114097014,0,0,6979
0.003634796,0.703703704,0,0.008800834,0.85,0.132363,0,0.425,0.962962963,0.976744186,0.647058824,0.727272727,0.406060606,1,0.418604651,0.406976744,0,0.114097233,0,0,6980
0.003636781,0.703703704,0,0.008802144,0.45,0.117225,0,0.45,0.981481481,0.976744186,0.647058824,0.727272727,0.375757576,1,0.465116279,0.465116279,0,0.114097451,0,0,6981
0.003637567,0.62962963,0,0.008802833,0.45,0.060587,0,0.5,0.981481481,0.976744186,0.647058824,0.727272727,0.46969697,1,0.418604651,0.372093023,0,0.11409767,0,0,6982
0.003639759,0.555555556,0,0.008810725,0.45,0.027042,0,0.475,0.981481481,0.976744186,0.661764706,0.727272727,0.445454545,1,0.441860465,0.395348837,0,0.114097888,0,0,6983
